"Step","zerobasebeta3t2_numdata5lag2noise1.0lo128hi128sz00001max50000_0707_172415 - Gradnorm","zerobasebeta3t2_numdata5lag2noise1.0lo128hi128sz00001max50000_0707_172415 - Gradnorm__MIN","zerobasebeta3t2_numdata5lag2noise1.0lo128hi128sz00001max50000_0707_172415 - Gradnorm__MAX"
"2280","17599.025390625","17599.025390625","17599.025390625"
"2300","15930.22265625","15930.22265625","15930.22265625"
"2320","14209.75","14209.75","14209.75"
"2340","17227.30859375","17227.30859375","17227.30859375"
"2360","12388.4638671875","12388.4638671875","12388.4638671875"
"2380","9059.80859375","9059.80859375","9059.80859375"
"2400","14017.5322265625","14017.5322265625","14017.5322265625"
"2420","13170.666015625","13170.666015625","13170.666015625"
"2440","9806.2490234375","9806.2490234375","9806.2490234375"
"2460","7207.31396484375","7207.31396484375","7207.31396484375"
"2480","12339.9423828125","12339.9423828125","12339.9423828125"
"2500","15184.349609375","15184.349609375","15184.349609375"
"2520","11504.4423828125","11504.4423828125","11504.4423828125"
"2540","11757.1767578125","11757.1767578125","11757.1767578125"
"2560","20255.291015625","20255.291015625","20255.291015625"
"2580","11621.9892578125","11621.9892578125","11621.9892578125"
"2600","11287.75","11287.75","11287.75"
"2620","15038.650390625","15038.650390625","15038.650390625"
"2640","9491.2734375","9491.2734375","9491.2734375"
"2660","11037.46484375","11037.46484375","11037.46484375"
"2680","9970.60546875","9970.60546875","9970.60546875"
"2700","9832.3564453125","9832.3564453125","9832.3564453125"
"2720","7422.560546875","7422.560546875","7422.560546875"
"2740","11628.849609375","11628.849609375","11628.849609375"
"2760","15588.4736328125","15588.4736328125","15588.4736328125"
"2780","17029.287109375","17029.287109375","17029.287109375"
"2800","16094.1767578125","16094.1767578125","16094.1767578125"
"2820","18571.27734375","18571.27734375","18571.27734375"
"2840","11393.1162109375","11393.1162109375","11393.1162109375"
"2860","15611.1533203125","15611.1533203125","15611.1533203125"
"2880","12467.7744140625","12467.7744140625","12467.7744140625"
"2900","13505.3984375","13505.3984375","13505.3984375"
"2920","14744.42578125","14744.42578125","14744.42578125"
"2940","10574.7431640625","10574.7431640625","10574.7431640625"
"2960","12460.875","12460.875","12460.875"
"2980","20550.994140625","20550.994140625","20550.994140625"
"3000","11103.158203125","11103.158203125","11103.158203125"
"3020","7377.84814453125","7377.84814453125","7377.84814453125"
"3040","10792.3671875","10792.3671875","10792.3671875"
"3060","13198.365234375","13198.365234375","13198.365234375"
"3080","15764.744140625","15764.744140625","15764.744140625"
"3100","12629.0146484375","12629.0146484375","12629.0146484375"
"3120","16200.900390625","16200.900390625","16200.900390625"
"3140","8253.1728515625","8253.1728515625","8253.1728515625"
"3160","9500.2216796875","9500.2216796875","9500.2216796875"
"3180","12273.064453125","12273.064453125","12273.064453125"
"3200","8183.41748046875","8183.41748046875","8183.41748046875"
"3220","9239.759765625","9239.759765625","9239.759765625"
"3240","13736.9814453125","13736.9814453125","13736.9814453125"
"3260","6601.984375","6601.984375","6601.984375"
"3280","11044.9755859375","11044.9755859375","11044.9755859375"
"3300","7574.376953125","7574.376953125","7574.376953125"
"3320","13467.66796875","13467.66796875","13467.66796875"
"3340","7493.84326171875","7493.84326171875","7493.84326171875"
"3360","15205.361328125","15205.361328125","15205.361328125"
"3380","8157.3857421875","8157.3857421875","8157.3857421875"
"3400","15058.638671875","15058.638671875","15058.638671875"
"3420","13741.40234375","13741.40234375","13741.40234375"
"3440","17928.365234375","17928.365234375","17928.365234375"
"3460","9470.11328125","9470.11328125","9470.11328125"
"3480","20130.779296875","20130.779296875","20130.779296875"
"3500","10628.1787109375","10628.1787109375","10628.1787109375"
"3520","9051.70703125","9051.70703125","9051.70703125"
"3540","17987.615234375","17987.615234375","17987.615234375"
"3560","9192.177734375","9192.177734375","9192.177734375"
"3580","13308.4404296875","13308.4404296875","13308.4404296875"
"3600","8968.609375","8968.609375","8968.609375"
"3620","12498.603515625","12498.603515625","12498.603515625"
"3640","8597.73828125","8597.73828125","8597.73828125"
"3660","8682.11328125","8682.11328125","8682.11328125"
"3680","12522.017578125","12522.017578125","12522.017578125"
"3700","7189.00927734375","7189.00927734375","7189.00927734375"
"3720","11246.0361328125","11246.0361328125","11246.0361328125"
"3740","10704.7001953125","10704.7001953125","10704.7001953125"
"3760","9002.2587890625","9002.2587890625","9002.2587890625"
"3780","8485.818359375","8485.818359375","8485.818359375"
"3800","11868.6904296875","11868.6904296875","11868.6904296875"
"3820","9561.734375","9561.734375","9561.734375"
"3840","11478.3603515625","11478.3603515625","11478.3603515625"
"3860","14584.123046875","14584.123046875","14584.123046875"
"3880","9688.9169921875","9688.9169921875","9688.9169921875"
"3900","14039.6884765625","14039.6884765625","14039.6884765625"
"3920","14654.916015625","14654.916015625","14654.916015625"
"3940","11799.419921875","11799.419921875","11799.419921875"
"3960","11609.072265625","11609.072265625","11609.072265625"
"3980","12719.2822265625","12719.2822265625","12719.2822265625"
"4000","15752.9921875","15752.9921875","15752.9921875"
"4020","14962.583984375","14962.583984375","14962.583984375"
"4040","12498.6845703125","12498.6845703125","12498.6845703125"
"4060","10001.9775390625","10001.9775390625","10001.9775390625"
"4080","9048.4169921875","9048.4169921875","9048.4169921875"
"4100","7950.49609375","7950.49609375","7950.49609375"
"4120","8024.10400390625","8024.10400390625","8024.10400390625"
"4140","8220.419921875","8220.419921875","8220.419921875"
"4160","7690.2529296875","7690.2529296875","7690.2529296875"
"4180","14383.1591796875","14383.1591796875","14383.1591796875"
"4200","17185.4453125","17185.4453125","17185.4453125"
"4220","11298.9794921875","11298.9794921875","11298.9794921875"
"4240","11610.744140625","11610.744140625","11610.744140625"
"4260","8743.9794921875","8743.9794921875","8743.9794921875"
"4280","16040.6416015625","16040.6416015625","16040.6416015625"
"4300","8017.1435546875","8017.1435546875","8017.1435546875"
"4320","10040.4716796875","10040.4716796875","10040.4716796875"
"4340","15285.6201171875","15285.6201171875","15285.6201171875"
"4360","11526.2724609375","11526.2724609375","11526.2724609375"
"4380","8503.9443359375","8503.9443359375","8503.9443359375"
"4400","15260.390625","15260.390625","15260.390625"
"4420","12839.4501953125","12839.4501953125","12839.4501953125"
"4440","15640.9169921875","15640.9169921875","15640.9169921875"
"4460","9964.59375","9964.59375","9964.59375"
"4480","9532.173828125","9532.173828125","9532.173828125"
"4500","14430.994140625","14430.994140625","14430.994140625"
"4520","9329.458984375","9329.458984375","9329.458984375"
"4540","8525.39453125","8525.39453125","8525.39453125"
"4560","13882.4716796875","13882.4716796875","13882.4716796875"
"4580","12173.927734375","12173.927734375","12173.927734375"
"4600","9037.0322265625","9037.0322265625","9037.0322265625"
"4620","8867.5849609375","8867.5849609375","8867.5849609375"
"4640","10714.01953125","10714.01953125","10714.01953125"
"4660","11052.8916015625","11052.8916015625","11052.8916015625"
"4680","8371.6171875","8371.6171875","8371.6171875"
"4700","9577.7216796875","9577.7216796875","9577.7216796875"
"4720","11777.8359375","11777.8359375","11777.8359375"
"4740","8549.3505859375","8549.3505859375","8549.3505859375"
"4760","9765.685546875","9765.685546875","9765.685546875"
"4780","7612.02783203125","7612.02783203125","7612.02783203125"
"4800","15838.8408203125","15838.8408203125","15838.8408203125"
"4820","10062.1298828125","10062.1298828125","10062.1298828125"
"4840","10400.10546875","10400.10546875","10400.10546875"
"4860","10473.857421875","10473.857421875","10473.857421875"
"4880","8953.8779296875","8953.8779296875","8953.8779296875"
"4900","10782.2255859375","10782.2255859375","10782.2255859375"
"4920","7131.818359375","7131.818359375","7131.818359375"
"4940","13701.8759765625","13701.8759765625","13701.8759765625"
"4960","9143.826171875","9143.826171875","9143.826171875"
"4980","12579.3515625","12579.3515625","12579.3515625"
"5000","12941.8466796875","12941.8466796875","12941.8466796875"
"5020","7941.48583984375","7941.48583984375","7941.48583984375"
"5040","10948.34375","10948.34375","10948.34375"
"5060","8289.2099609375","8289.2099609375","8289.2099609375"
"5080","9335.587890625","9335.587890625","9335.587890625"
"5100","11042.78515625","11042.78515625","11042.78515625"
"5120","16206.55078125","16206.55078125","16206.55078125"
"5140","11402.6044921875","11402.6044921875","11402.6044921875"
"5160","17204.703125","17204.703125","17204.703125"
"5180","7452.17919921875","7452.17919921875","7452.17919921875"
"5200","7656.220703125","7656.220703125","7656.220703125"
"5220","9205.7939453125","9205.7939453125","9205.7939453125"
"5240","10617.9287109375","10617.9287109375","10617.9287109375"
"5260","14425.8876953125","14425.8876953125","14425.8876953125"
"5280","10335.8720703125","10335.8720703125","10335.8720703125"
"5300","6623.8056640625","6623.8056640625","6623.8056640625"
"5320","11241.4150390625","11241.4150390625","11241.4150390625"
"5340","7702.97705078125","7702.97705078125","7702.97705078125"
"5360","7875.92578125","7875.92578125","7875.92578125"
"5380","9849.763671875","9849.763671875","9849.763671875"
"5400","8168.9951171875","8168.9951171875","8168.9951171875"
"5420","12533.8251953125","12533.8251953125","12533.8251953125"
"5440","14609.7431640625","14609.7431640625","14609.7431640625"
"5460","12219.0712890625","12219.0712890625","12219.0712890625"
"5480","8892.35546875","8892.35546875","8892.35546875"
"5500","7595.197265625","7595.197265625","7595.197265625"
"5520","9283.7197265625","9283.7197265625","9283.7197265625"
"5540","9124.2138671875","9124.2138671875","9124.2138671875"
"5560","7199.5009765625","7199.5009765625","7199.5009765625"
"5580","10463.21484375","10463.21484375","10463.21484375"
"5600","13197.1171875","13197.1171875","13197.1171875"
"5620","14186.0029296875","14186.0029296875","14186.0029296875"
"5640","18718.96484375","18718.96484375","18718.96484375"
"5660","10007.197265625","10007.197265625","10007.197265625"
"5680","12701.03515625","12701.03515625","12701.03515625"
"5700","12509.28125","12509.28125","12509.28125"
"5720","16626.314453125","16626.314453125","16626.314453125"
"5740","10482.2919921875","10482.2919921875","10482.2919921875"
"5760","16099.6904296875","16099.6904296875","16099.6904296875"
"5780","11130.560546875","11130.560546875","11130.560546875"
"5800","6989.70166015625","6989.70166015625","6989.70166015625"
"5820","9648.0869140625","9648.0869140625","9648.0869140625"
"5840","8303.1005859375","8303.1005859375","8303.1005859375"
"5860","7127.22802734375","7127.22802734375","7127.22802734375"
"5880","9795.15234375","9795.15234375","9795.15234375"
"5900","7615.4541015625","7615.4541015625","7615.4541015625"
"5920","8544.68359375","8544.68359375","8544.68359375"
"5940","10986.75","10986.75","10986.75"
"5960","9035.2939453125","9035.2939453125","9035.2939453125"
"5980","10696.0390625","10696.0390625","10696.0390625"
"6000","9822.0380859375","9822.0380859375","9822.0380859375"
"6020","9794.6552734375","9794.6552734375","9794.6552734375"
"6040","15718.5498046875","15718.5498046875","15718.5498046875"
"6060","7767.439453125","7767.439453125","7767.439453125"
"6080","9483.1494140625","9483.1494140625","9483.1494140625"
"6100","12659.1796875","12659.1796875","12659.1796875"
"6120","11249.8759765625","11249.8759765625","11249.8759765625"
"6140","9204.2490234375","9204.2490234375","9204.2490234375"
"6160","8801.74609375","8801.74609375","8801.74609375"
"6180","15639.3408203125","15639.3408203125","15639.3408203125"
"6200","10290.263671875","10290.263671875","10290.263671875"
"6220","8000.58349609375","8000.58349609375","8000.58349609375"
"6240","9049.232421875","9049.232421875","9049.232421875"
"6260","6538.91259765625","6538.91259765625","6538.91259765625"
"6280","7029.88427734375","7029.88427734375","7029.88427734375"
"6300","10728.521484375","10728.521484375","10728.521484375"
"6320","8351.017578125","8351.017578125","8351.017578125"
"6340","13500.8134765625","13500.8134765625","13500.8134765625"
"6360","10142.04296875","10142.04296875","10142.04296875"
"6380","8571.02734375","8571.02734375","8571.02734375"
"6400","14097.357421875","14097.357421875","14097.357421875"
"6420","14038.66015625","14038.66015625","14038.66015625"
"6440","15124.2822265625","15124.2822265625","15124.2822265625"
"6460","10807.7861328125","10807.7861328125","10807.7861328125"
"6480","10141.033203125","10141.033203125","10141.033203125"
"6500","10565.322265625","10565.322265625","10565.322265625"
"6520","8293.017578125","8293.017578125","8293.017578125"
"6540","8323.4638671875","8323.4638671875","8323.4638671875"
"6560","8185.8017578125","8185.8017578125","8185.8017578125"
"6580","7714.88916015625","7714.88916015625","7714.88916015625"
"6600","13237.271484375","13237.271484375","13237.271484375"
"6620","7039.17529296875","7039.17529296875","7039.17529296875"
"6640","10926.2021484375","10926.2021484375","10926.2021484375"
"6660","13671.57421875","13671.57421875","13671.57421875"
"6680","13404.04296875","13404.04296875","13404.04296875"
"6700","10253.1669921875","10253.1669921875","10253.1669921875"
"6720","8990.29296875","8990.29296875","8990.29296875"
"6740","9291.333984375","9291.333984375","9291.333984375"
"6760","11597.2890625","11597.2890625","11597.2890625"
"6780","9137.138671875","9137.138671875","9137.138671875"
"6800","7006.53759765625","7006.53759765625","7006.53759765625"
"6820","8736.5673828125","8736.5673828125","8736.5673828125"
"6840","7518.43310546875","7518.43310546875","7518.43310546875"
"6860","8892.525390625","8892.525390625","8892.525390625"
"6880","8668.05859375","8668.05859375","8668.05859375"
"6900","13771.078125","13771.078125","13771.078125"
"6920","8349.0546875","8349.0546875","8349.0546875"
"6940","9353.0732421875","9353.0732421875","9353.0732421875"
"6960","12054.0087890625","12054.0087890625","12054.0087890625"
"6980","11689.0576171875","11689.0576171875","11689.0576171875"
"7000","16246.8037109375","16246.8037109375","16246.8037109375"
"7020","10223.794921875","10223.794921875","10223.794921875"
"7040","10337.830078125","10337.830078125","10337.830078125"
"7060","9176.5302734375","9176.5302734375","9176.5302734375"
"7080","11025.9931640625","11025.9931640625","11025.9931640625"
"7100","11647.3076171875","11647.3076171875","11647.3076171875"
"7120","10362.794921875","10362.794921875","10362.794921875"
"7140","8325.66796875","8325.66796875","8325.66796875"
"7160","11809.310546875","11809.310546875","11809.310546875"
"7180","11878.265625","11878.265625","11878.265625"
"7200","7014.20458984375","7014.20458984375","7014.20458984375"
"7220","9982.6025390625","9982.6025390625","9982.6025390625"
"7240","10772.2783203125","10772.2783203125","10772.2783203125"
"7260","11522.0537109375","11522.0537109375","11522.0537109375"
"7280","8843.3681640625","8843.3681640625","8843.3681640625"
"7300","7331.94970703125","7331.94970703125","7331.94970703125"
"7320","7465.77490234375","7465.77490234375","7465.77490234375"
"7340","10475.5869140625","10475.5869140625","10475.5869140625"
"7360","8006.31787109375","8006.31787109375","8006.31787109375"
"7380","11087.0498046875","11087.0498046875","11087.0498046875"
"7400","10167.126953125","10167.126953125","10167.126953125"
"7420","13881.0419921875","13881.0419921875","13881.0419921875"
"7440","10636.5390625","10636.5390625","10636.5390625"
"7460","9356.05859375","9356.05859375","9356.05859375"
"7480","13097.1396484375","13097.1396484375","13097.1396484375"
"7500","10612.048828125","10612.048828125","10612.048828125"
"7520","11104.2880859375","11104.2880859375","11104.2880859375"
"7540","13038.0869140625","13038.0869140625","13038.0869140625"
"7560","8586.892578125","8586.892578125","8586.892578125"
"7580","13974.1181640625","13974.1181640625","13974.1181640625"
"7600","8058.263671875","8058.263671875","8058.263671875"
"7620","10732.6416015625","10732.6416015625","10732.6416015625"
"7640","9672.396484375","9672.396484375","9672.396484375"
"7660","7620.6162109375","7620.6162109375","7620.6162109375"
"7680","13793.0341796875","13793.0341796875","13793.0341796875"
"7700","12179.0830078125","12179.0830078125","12179.0830078125"
"7720","11814.5185546875","11814.5185546875","11814.5185546875"
"7740","8622.5146484375","8622.5146484375","8622.5146484375"
"7760","14422.931640625","14422.931640625","14422.931640625"
"7780","9660.595703125","9660.595703125","9660.595703125"
"7800","10912.4775390625","10912.4775390625","10912.4775390625"
"7820","10979.6640625","10979.6640625","10979.6640625"
"7840","9898.82421875","9898.82421875","9898.82421875"
"7860","7691.75439453125","7691.75439453125","7691.75439453125"
"7880","10304.0576171875","10304.0576171875","10304.0576171875"
"7900","7142.08251953125","7142.08251953125","7142.08251953125"
"7920","9197.23046875","9197.23046875","9197.23046875"
"7940","9005.71875","9005.71875","9005.71875"
"7960","12999.248046875","12999.248046875","12999.248046875"
"7980","11977.8857421875","11977.8857421875","11977.8857421875"
"8000","8321.6865234375","8321.6865234375","8321.6865234375"
"8020","8794.1845703125","8794.1845703125","8794.1845703125"
"8040","8759.220703125","8759.220703125","8759.220703125"
"8060","9650.810546875","9650.810546875","9650.810546875"
"8080","8401.52734375","8401.52734375","8401.52734375"
"8100","11901.875","11901.875","11901.875"
"8120","12098.306640625","12098.306640625","12098.306640625"
"8140","13950.3515625","13950.3515625","13950.3515625"
"8160","9696.4638671875","9696.4638671875","9696.4638671875"
"8180","7494.89599609375","7494.89599609375","7494.89599609375"
"8200","6157.55078125","6157.55078125","6157.55078125"
"8220","10955.287109375","10955.287109375","10955.287109375"
"8240","8882.9306640625","8882.9306640625","8882.9306640625"
"8260","11266.6513671875","11266.6513671875","11266.6513671875"
"8280","17716.65234375","17716.65234375","17716.65234375"
"8300","9050.91015625","9050.91015625","9050.91015625"
"8320","10469.1484375","10469.1484375","10469.1484375"
"8340","10490.3212890625","10490.3212890625","10490.3212890625"
"8360","8783.6171875","8783.6171875","8783.6171875"
"8380","12206.4384765625","12206.4384765625","12206.4384765625"
"8400","8853.201171875","8853.201171875","8853.201171875"
"8420","9167.341796875","9167.341796875","9167.341796875"
"8440","10323.9541015625","10323.9541015625","10323.9541015625"
"8460","13140.453125","13140.453125","13140.453125"
"8480","7014.52783203125","7014.52783203125","7014.52783203125"
"8500","13684.2080078125","13684.2080078125","13684.2080078125"
"8520","11223.599609375","11223.599609375","11223.599609375"
"8540","9675.162109375","9675.162109375","9675.162109375"
"8560","10158.5087890625","10158.5087890625","10158.5087890625"
"8580","7552.50927734375","7552.50927734375","7552.50927734375"
"8600","10107.822265625","10107.822265625","10107.822265625"
"8620","12887.3486328125","12887.3486328125","12887.3486328125"
"8640","9501.0615234375","9501.0615234375","9501.0615234375"
"8660","7898.33740234375","7898.33740234375","7898.33740234375"
"8680","9123.4716796875","9123.4716796875","9123.4716796875"
"8700","8673.7236328125","8673.7236328125","8673.7236328125"
"8720","9893.458984375","9893.458984375","9893.458984375"
"8740","13199.8662109375","13199.8662109375","13199.8662109375"
"8760","10228.3701171875","10228.3701171875","10228.3701171875"
"8780","8698.25390625","8698.25390625","8698.25390625"
"8800","9562.0703125","9562.0703125","9562.0703125"
"8820","8868.5546875","8868.5546875","8868.5546875"
"8840","9337.6005859375","9337.6005859375","9337.6005859375"
"8860","9285.029296875","9285.029296875","9285.029296875"
"8880","6496.783203125","6496.783203125","6496.783203125"
"8900","13030.65234375","13030.65234375","13030.65234375"
"8920","12000.3828125","12000.3828125","12000.3828125"
"8940","8328.501953125","8328.501953125","8328.501953125"
"8960","8589.439453125","8589.439453125","8589.439453125"
"8980","9807.208984375","9807.208984375","9807.208984375"
"9000","9922.962890625","9922.962890625","9922.962890625"
"9020","8298.21875","8298.21875","8298.21875"
"9040","10238.419921875","10238.419921875","10238.419921875"
"9060","11294.521484375","11294.521484375","11294.521484375"
"9080","5590.212890625","5590.212890625","5590.212890625"
"9100","8994.640625","8994.640625","8994.640625"
"9120","9853.1376953125","9853.1376953125","9853.1376953125"
"9140","9061.705078125","9061.705078125","9061.705078125"
"9160","10676.203125","10676.203125","10676.203125"
"9180","7400.56884765625","7400.56884765625","7400.56884765625"
"9200","7487.6318359375","7487.6318359375","7487.6318359375"
"9220","9965.94140625","9965.94140625","9965.94140625"
"9240","8220.74609375","8220.74609375","8220.74609375"
"9260","9863.5576171875","9863.5576171875","9863.5576171875"
"9280","7557.79736328125","7557.79736328125","7557.79736328125"
"9300","9066.9619140625","9066.9619140625","9066.9619140625"
"9320","10401.251953125","10401.251953125","10401.251953125"
"9340","10774.4404296875","10774.4404296875","10774.4404296875"
"9360","11556.3740234375","11556.3740234375","11556.3740234375"
"9380","7866.91259765625","7866.91259765625","7866.91259765625"
"9400","9944.7470703125","9944.7470703125","9944.7470703125"
"9420","13139.8037109375","13139.8037109375","13139.8037109375"
"9440","8783.9619140625","8783.9619140625","8783.9619140625"
"9460","8004.06494140625","8004.06494140625","8004.06494140625"
"9480","10026.89453125","10026.89453125","10026.89453125"
"9500","8215.5654296875","8215.5654296875","8215.5654296875"
"9520","6742.6611328125","6742.6611328125","6742.6611328125"
"9540","12891.078125","12891.078125","12891.078125"
"9560","11340.1650390625","11340.1650390625","11340.1650390625"
"9580","16612.810546875","16612.810546875","16612.810546875"
"9600","9265.5517578125","9265.5517578125","9265.5517578125"
"9620","9020.318359375","9020.318359375","9020.318359375"
"9640","6098.57666015625","6098.57666015625","6098.57666015625"
"9660","9952.2900390625","9952.2900390625","9952.2900390625"
"9680","8857.6650390625","8857.6650390625","8857.6650390625"
"9700","7577.7353515625","7577.7353515625","7577.7353515625"
"9720","9672.447265625","9672.447265625","9672.447265625"
"9740","9164.986328125","9164.986328125","9164.986328125"
"9760","9658.78515625","9658.78515625","9658.78515625"
"9780","11627.7724609375","11627.7724609375","11627.7724609375"
"9800","9283.1142578125","9283.1142578125","9283.1142578125"
"9820","10089.654296875","10089.654296875","10089.654296875"
"9840","8756.1826171875","8756.1826171875","8756.1826171875"
"9860","6101.7392578125","6101.7392578125","6101.7392578125"
"9880","9056.5517578125","9056.5517578125","9056.5517578125"
"9900","9328.1787109375","9328.1787109375","9328.1787109375"
"9920","10692.7021484375","10692.7021484375","10692.7021484375"
"9940","9894.2392578125","9894.2392578125","9894.2392578125"
"9960","8138.97705078125","8138.97705078125","8138.97705078125"
"9980","9603.4970703125","9603.4970703125","9603.4970703125"
"10000","6400.7080078125","6400.7080078125","6400.7080078125"
"10020","8996.0732421875","8996.0732421875","8996.0732421875"
"10040","10219.591796875","10219.591796875","10219.591796875"
"10060","8021.65087890625","8021.65087890625","8021.65087890625"
