"Step","zerobase_linbeta_numdata5lag2noise1.0lo128hi128sz00001max50000_0706_121731 - loss","zerobase_linbeta_numdata5lag2noise1.0lo128hi128sz00001max50000_0706_121731 - loss__MIN","zerobase_linbeta_numdata5lag2noise1.0lo128hi128sz00001max50000_0706_121731 - loss__MAX"
"20","12791.0673828125","12791.0673828125","12791.0673828125"
"40","11160.609375","11160.609375","11160.609375"
"60","10445.8623046875","10445.8623046875","10445.8623046875"
"80","7971.31005859375","7971.31005859375","7971.31005859375"
"100","7724.1923828125","7724.1923828125","7724.1923828125"
"120","6912.2333984375","6912.2333984375","6912.2333984375"
"140","7135.1484375","7135.1484375","7135.1484375"
"160","6636.12744140625","6636.12744140625","6636.12744140625"
"180","6711.53125","6711.53125","6711.53125"
"200","6611.58984375","6611.58984375","6611.58984375"
"220","6593.13671875","6593.13671875","6593.13671875"
"240","5830.533203125","5830.533203125","5830.533203125"
"260","6364.02099609375","6364.02099609375","6364.02099609375"
"280","6244.916015625","6244.916015625","6244.916015625"
"300","5828.142578125","5828.142578125","5828.142578125"
"320","6094.28125","6094.28125","6094.28125"
"340","5801.759765625","5801.759765625","5801.759765625"
"360","5078.76513671875","5078.76513671875","5078.76513671875"
"380","5847.078125","5847.078125","5847.078125"
"400","5569.203125","5569.203125","5569.203125"
"420","5536.47509765625","5536.47509765625","5536.47509765625"
"440","5412.38134765625","5412.38134765625","5412.38134765625"
"460","5472.23974609375","5472.23974609375","5472.23974609375"
"480","5490.51318359375","5490.51318359375","5490.51318359375"
"500","5444.60107421875","5444.60107421875","5444.60107421875"
"520","5076.38427734375","5076.38427734375","5076.38427734375"
"540","4809.09326171875","4809.09326171875","4809.09326171875"
"560","5141.10791015625","5141.10791015625","5141.10791015625"
"580","5380.27880859375","5380.27880859375","5380.27880859375"
"600","4838.43359375","4838.43359375","4838.43359375"
"620","4460.4013671875","4460.4013671875","4460.4013671875"
"640","4533.35595703125","4533.35595703125","4533.35595703125"
"660","4368.22998046875","4368.22998046875","4368.22998046875"
"680","4591.68115234375","4591.68115234375","4591.68115234375"
"700","4522.462890625","4522.462890625","4522.462890625"
"720","4538.31591796875","4538.31591796875","4538.31591796875"
"740","4745.0029296875","4745.0029296875","4745.0029296875"
"760","4484.13671875","4484.13671875","4484.13671875"
"780","4531.20654296875","4531.20654296875","4531.20654296875"
"800","4681.048828125","4681.048828125","4681.048828125"
"820","4593.5771484375","4593.5771484375","4593.5771484375"
"840","4505.66259765625","4505.66259765625","4505.66259765625"
"860","4600.45166015625","4600.45166015625","4600.45166015625"
"880","4147.83349609375","4147.83349609375","4147.83349609375"
"900","4451.1416015625","4451.1416015625","4451.1416015625"
"920","4250.05029296875","4250.05029296875","4250.05029296875"
"940","4300.4951171875","4300.4951171875","4300.4951171875"
"960","4624.3994140625","4624.3994140625","4624.3994140625"
"980","4278.71240234375","4278.71240234375","4278.71240234375"
"1000","4255.8671875","4255.8671875","4255.8671875"
"1020","4311.35595703125","4311.35595703125","4311.35595703125"
"1040","4033.373046875","4033.373046875","4033.373046875"
"1060","3667.44921875","3667.44921875","3667.44921875"
"1080","4330.671875","4330.671875","4330.671875"
"1100","3878.03369140625","3878.03369140625","3878.03369140625"
"1120","4017.36669921875","4017.36669921875","4017.36669921875"
"1140","4251.25927734375","4251.25927734375","4251.25927734375"
"1160","3824.91357421875","3824.91357421875","3824.91357421875"
"1180","3851.56298828125","3851.56298828125","3851.56298828125"
"1200","3742.35205078125","3742.35205078125","3742.35205078125"
"1220","3968.932373046875","3968.932373046875","3968.932373046875"
"1240","3894.24169921875","3894.24169921875","3894.24169921875"
"1260","3611.664306640625","3611.664306640625","3611.664306640625"
"1280","3686.4365234375","3686.4365234375","3686.4365234375"
"1300","4446.44189453125","4446.44189453125","4446.44189453125"
"1320","3784.87890625","3784.87890625","3784.87890625"
"1340","3723.001708984375","3723.001708984375","3723.001708984375"
"1360","3767.159912109375","3767.159912109375","3767.159912109375"
"1380","4031.204833984375","4031.204833984375","4031.204833984375"
"1400","4153.31201171875","4153.31201171875","4153.31201171875"
"1420","4252.4150390625","4252.4150390625","4252.4150390625"
"1440","3934.67431640625","3934.67431640625","3934.67431640625"
"1460","3460.663330078125","3460.663330078125","3460.663330078125"
"1480","3674.822998046875","3674.822998046875","3674.822998046875"
"1500","3681.733642578125","3681.733642578125","3681.733642578125"
"1520","3590.0654296875","3590.0654296875","3590.0654296875"
"1540","3725.556884765625","3725.556884765625","3725.556884765625"
"1560","3429.389404296875","3429.389404296875","3429.389404296875"
"1580","3758.594482421875","3758.594482421875","3758.594482421875"
"1600","3790.9404296875","3790.9404296875","3790.9404296875"
"1620","3964.510498046875","3964.510498046875","3964.510498046875"
"1640","3436.595458984375","3436.595458984375","3436.595458984375"
"1660","3474.450927734375","3474.450927734375","3474.450927734375"
"1680","3362.557373046875","3362.557373046875","3362.557373046875"
"1700","3424.6259765625","3424.6259765625","3424.6259765625"
"1720","3543.16796875","3543.16796875","3543.16796875"
"1740","3472.456787109375","3472.456787109375","3472.456787109375"
"1760","3618.340576171875","3618.340576171875","3618.340576171875"
"1780","3438.791748046875","3438.791748046875","3438.791748046875"
"1800","3716.577392578125","3716.577392578125","3716.577392578125"
"1820","3348.361572265625","3348.361572265625","3348.361572265625"
"1840","3537.637451171875","3537.637451171875","3537.637451171875"
"1860","3509.607666015625","3509.607666015625","3509.607666015625"
"1880","3288.177001953125","3288.177001953125","3288.177001953125"
"1900","3749.14794921875","3749.14794921875","3749.14794921875"
"1920","3727.53271484375","3727.53271484375","3727.53271484375"
"1940","3360.200439453125","3360.200439453125","3360.200439453125"
"1960","3291.27734375","3291.27734375","3291.27734375"
"1980","3366.98876953125","3366.98876953125","3366.98876953125"
"2000","3457.776123046875","3457.776123046875","3457.776123046875"
"2020","3619.514404296875","3619.514404296875","3619.514404296875"
"2040","3401.48046875","3401.48046875","3401.48046875"
"2060","3106.760498046875","3106.760498046875","3106.760498046875"
"2080","3442.3076171875","3442.3076171875","3442.3076171875"
"2100","3766.842529296875","3766.842529296875","3766.842529296875"
"2120","3296.03515625","3296.03515625","3296.03515625"
"2140","3268.850830078125","3268.850830078125","3268.850830078125"
"2160","3290.615234375","3290.615234375","3290.615234375"
"2180","3388.56298828125","3388.56298828125","3388.56298828125"
"2200","3533.22021484375","3533.22021484375","3533.22021484375"
"2220","3200.250244140625","3200.250244140625","3200.250244140625"
"2240","3150.010498046875","3150.010498046875","3150.010498046875"
"2260","3059.818115234375","3059.818115234375","3059.818115234375"
"2280","3313.682373046875","3313.682373046875","3313.682373046875"
"2300","3660.878662109375","3660.878662109375","3660.878662109375"
"2320","3294.900146484375","3294.900146484375","3294.900146484375"
"2340","3491.380615234375","3491.380615234375","3491.380615234375"
"2360","3146.657470703125","3146.657470703125","3146.657470703125"
"2380","3401.906494140625","3401.906494140625","3401.906494140625"
"2400","3020.200439453125","3020.200439453125","3020.200439453125"
"2420","3125.902099609375","3125.902099609375","3125.902099609375"
"2440","3327.9599609375","3327.9599609375","3327.9599609375"
"2460","2789.208984375","2789.208984375","2789.208984375"
"2480","3091.302001953125","3091.302001953125","3091.302001953125"
"2500","3390.555908203125","3390.555908203125","3390.555908203125"
"2520","3196.08935546875","3196.08935546875","3196.08935546875"
"2540","3193.066162109375","3193.066162109375","3193.066162109375"
"2560","3065.088623046875","3065.088623046875","3065.088623046875"
"2580","3086.8037109375","3086.8037109375","3086.8037109375"
"2600","3128.45751953125","3128.45751953125","3128.45751953125"
"2620","2970.585205078125","2970.585205078125","2970.585205078125"
"2640","2846.216796875","2846.216796875","2846.216796875"
"2660","3120.017822265625","3120.017822265625","3120.017822265625"
"2680","3070.83544921875","3070.83544921875","3070.83544921875"
"2700","3254.4619140625","3254.4619140625","3254.4619140625"
"2720","3377.81298828125","3377.81298828125","3377.81298828125"
"2740","3089.921875","3089.921875","3089.921875"
"2760","3189.405029296875","3189.405029296875","3189.405029296875"
"2780","3299.967529296875","3299.967529296875","3299.967529296875"
"2800","3089.3427734375","3089.3427734375","3089.3427734375"
"2820","3022.450439453125","3022.450439453125","3022.450439453125"
"2840","3116.0048828125","3116.0048828125","3116.0048828125"
"2860","3025.86083984375","3025.86083984375","3025.86083984375"
"2880","3333.32275390625","3333.32275390625","3333.32275390625"
"2900","3012.87548828125","3012.87548828125","3012.87548828125"
"2920","2809.306884765625","2809.306884765625","2809.306884765625"
"2940","3176.103271484375","3176.103271484375","3176.103271484375"
"2960","3086.155517578125","3086.155517578125","3086.155517578125"
"2980","3191.01806640625","3191.01806640625","3191.01806640625"
"3000","3110.989990234375","3110.989990234375","3110.989990234375"
"3020","2994.1611328125","2994.1611328125","2994.1611328125"
"3040","2866.229248046875","2866.229248046875","2866.229248046875"
"3060","2909.13623046875","2909.13623046875","2909.13623046875"
"3080","3063.35302734375","3063.35302734375","3063.35302734375"
"3100","3224.64404296875","3224.64404296875","3224.64404296875"
"3120","3083.232666015625","3083.232666015625","3083.232666015625"
"3140","3131.138671875","3131.138671875","3131.138671875"
"3160","3015.419189453125","3015.419189453125","3015.419189453125"
"3180","3133.146240234375","3133.146240234375","3133.146240234375"
