"Step","zerobasebeta2t2_numdata5lag2noise1.0lo128hi128sz00001max50000_0707_172415 - loss","zerobasebeta2t2_numdata5lag2noise1.0lo128hi128sz00001max50000_0707_172415 - loss__MIN","zerobasebeta2t2_numdata5lag2noise1.0lo128hi128sz00001max50000_0707_172415 - loss__MAX"
"20","13464.2568359375","13464.2568359375","13464.2568359375"
"40","10882.0859375","10882.0859375","10882.0859375"
"60","10264.0234375","10264.0234375","10264.0234375"
"80","7881.4775390625","7881.4775390625","7881.4775390625"
"100","7880.1875","7880.1875","7880.1875"
"120","6626.8017578125","6626.8017578125","6626.8017578125"
"140","6896.01904296875","6896.01904296875","6896.01904296875"
"160","6569.14501953125","6569.14501953125","6569.14501953125"
"180","6918.14111328125","6918.14111328125","6918.14111328125"
"200","5897.2900390625","5897.2900390625","5897.2900390625"
"220","6282.5361328125","6282.5361328125","6282.5361328125"
"240","5097.9921875","5097.9921875","5097.9921875"
"260","5452.3544921875","5452.3544921875","5452.3544921875"
"280","5149.876953125","5149.876953125","5149.876953125"
"300","5219.513671875","5219.513671875","5219.513671875"
"320","5608.0625","5608.0625","5608.0625"
"340","5073.564453125","5073.564453125","5073.564453125"
"360","4531.75","4531.75","4531.75"
"380","5295.5185546875","5295.5185546875","5295.5185546875"
"400","4893.15087890625","4893.15087890625","4893.15087890625"
"420","4793.11279296875","4793.11279296875","4793.11279296875"
"440","4729.0380859375","4729.0380859375","4729.0380859375"
"460","4824.20751953125","4824.20751953125","4824.20751953125"
"480","4880.9482421875","4880.9482421875","4880.9482421875"
"500","4625.20361328125","4625.20361328125","4625.20361328125"
"520","4074.886474609375","4074.886474609375","4074.886474609375"
"540","3980.7724609375","3980.7724609375","3980.7724609375"
"560","4502.0244140625","4502.0244140625","4502.0244140625"
"580","4902.275390625","4902.275390625","4902.275390625"
"600","4453.0810546875","4453.0810546875","4453.0810546875"
"620","3986.2880859375","3986.2880859375","3986.2880859375"
"640","4152.06494140625","4152.06494140625","4152.06494140625"
"660","3965.634521484375","3965.634521484375","3965.634521484375"
"680","4222.3681640625","4222.3681640625","4222.3681640625"
"700","3923.849853515625","3923.849853515625","3923.849853515625"
"720","4017.211181640625","4017.211181640625","4017.211181640625"
"740","4219.62158203125","4219.62158203125","4219.62158203125"
"760","4249.93798828125","4249.93798828125","4249.93798828125"
"780","3844.256103515625","3844.256103515625","3844.256103515625"
"800","4249.041015625","4249.041015625","4249.041015625"
"820","4164.3818359375","4164.3818359375","4164.3818359375"
"840","4232.96923828125","4232.96923828125","4232.96923828125"
"860","3768.5","3768.5","3768.5"
"880","3558.671875","3558.671875","3558.671875"
"900","3720.71533203125","3720.71533203125","3720.71533203125"
"920","3787.256103515625","3787.256103515625","3787.256103515625"
"940","3521.657470703125","3521.657470703125","3521.657470703125"
"960","3812.399658203125","3812.399658203125","3812.399658203125"
"980","3680.599609375","3680.599609375","3680.599609375"
"1000","3277.7998046875","3277.7998046875","3277.7998046875"
"1020","3353.739990234375","3353.739990234375","3353.739990234375"
"1040","3667.255615234375","3667.255615234375","3667.255615234375"
"1060","3268.517333984375","3268.517333984375","3268.517333984375"
"1080","3815.57080078125","3815.57080078125","3815.57080078125"
"1100","3331.407470703125","3331.407470703125","3331.407470703125"
"1120","3383.252685546875","3383.252685546875","3383.252685546875"
"1140","3599.7685546875","3599.7685546875","3599.7685546875"
"1160","3464.87744140625","3464.87744140625","3464.87744140625"
"1180","3445.713134765625","3445.713134765625","3445.713134765625"
"1200","3299.550537109375","3299.550537109375","3299.550537109375"
"1220","3638.076416015625","3638.076416015625","3638.076416015625"
"1240","3758.669921875","3758.669921875","3758.669921875"
"1260","3196.088134765625","3196.088134765625","3196.088134765625"
"1280","3374.169921875","3374.169921875","3374.169921875"
"1300","3685.1923828125","3685.1923828125","3685.1923828125"
"1320","3385.247314453125","3385.247314453125","3385.247314453125"
"1340","3305.33251953125","3305.33251953125","3305.33251953125"
"1360","3164.023681640625","3164.023681640625","3164.023681640625"
"1380","3354.579833984375","3354.579833984375","3354.579833984375"
"1400","3673.0947265625","3673.0947265625","3673.0947265625"
"1420","3527.036376953125","3527.036376953125","3527.036376953125"
"1440","3414.06689453125","3414.06689453125","3414.06689453125"
"1460","3047.37060546875","3047.37060546875","3047.37060546875"
"1480","3284.62548828125","3284.62548828125","3284.62548828125"
"1500","3090.1787109375","3090.1787109375","3090.1787109375"
"1520","3136.47119140625","3136.47119140625","3136.47119140625"
"1540","3259.765625","3259.765625","3259.765625"
"1560","3018.030517578125","3018.030517578125","3018.030517578125"
"1580","3546.28125","3546.28125","3546.28125"
"1600","3490.32421875","3490.32421875","3490.32421875"
"1620","3293.2333984375","3293.2333984375","3293.2333984375"
"1640","2941.947509765625","2941.947509765625","2941.947509765625"
"1660","2936.99462890625","2936.99462890625","2936.99462890625"
"1680","2939.59814453125","2939.59814453125","2939.59814453125"
"1700","2920.51025390625","2920.51025390625","2920.51025390625"
"1720","3111.603759765625","3111.603759765625","3111.603759765625"
"1740","2935.037353515625","2935.037353515625","2935.037353515625"
"1760","3234.15087890625","3234.15087890625","3234.15087890625"
"1780","2627.8046875","2627.8046875","2627.8046875"
"1800","3292.43994140625","3292.43994140625","3292.43994140625"
"1820","3181.622314453125","3181.622314453125","3181.622314453125"
"1840","3025.25927734375","3025.25927734375","3025.25927734375"
"1860","2909.29248046875","2909.29248046875","2909.29248046875"
"1880","2893.10107421875","2893.10107421875","2893.10107421875"
"1900","3329.220458984375","3329.220458984375","3329.220458984375"
"1920","3150.193115234375","3150.193115234375","3150.193115234375"
"1940","2590.16650390625","2590.16650390625","2590.16650390625"
"1960","2864.8525390625","2864.8525390625","2864.8525390625"
"1980","2957.93212890625","2957.93212890625","2957.93212890625"
"2000","3202.37451171875","3202.37451171875","3202.37451171875"
"2020","3086.583984375","3086.583984375","3086.583984375"
"2040","2966.73046875","2966.73046875","2966.73046875"
"2060","2807.46044921875","2807.46044921875","2807.46044921875"
"2080","2962.249267578125","2962.249267578125","2962.249267578125"
"2100","3267.447509765625","3267.447509765625","3267.447509765625"
"2120","2840.666748046875","2840.666748046875","2840.666748046875"
"2140","3004.678466796875","3004.678466796875","3004.678466796875"
"2160","2893.248046875","2893.248046875","2893.248046875"
"2180","2636.218994140625","2636.218994140625","2636.218994140625"
"2200","3002.327392578125","3002.327392578125","3002.327392578125"
"2220","2905.9580078125","2905.9580078125","2905.9580078125"
"2240","2741.696533203125","2741.696533203125","2741.696533203125"
"2260","2823.9033203125","2823.9033203125","2823.9033203125"
"2280","2829.533447265625","2829.533447265625","2829.533447265625"
"2300","3314.87548828125","3314.87548828125","3314.87548828125"
"2320","2968.827392578125","2968.827392578125","2968.827392578125"
"2340","2924.576416015625","2924.576416015625","2924.576416015625"
"2360","3008.387451171875","3008.387451171875","3008.387451171875"
"2380","2886.096435546875","2886.096435546875","2886.096435546875"
"2400","2735.3525390625","2735.3525390625","2735.3525390625"
"2420","2676.892822265625","2676.892822265625","2676.892822265625"
"2440","3152.1787109375","3152.1787109375","3152.1787109375"
"2460","2513.0634765625","2513.0634765625","2513.0634765625"
"2480","2878.201171875","2878.201171875","2878.201171875"
