"Step","zerobase_numdata5lag2noise1.0lo128hi128sz00001max50000_0706_120929 - Gradnorm","zerobase_numdata5lag2noise1.0lo128hi128sz00001max50000_0706_120929 - Gradnorm__MIN","zerobase_numdata5lag2noise1.0lo128hi128sz00001max50000_0706_120929 - Gradnorm__MAX"
"1620","12062.111328125","12062.111328125","12062.111328125"
"1640","6268.2060546875","6268.2060546875","6268.2060546875"
"1660","21416.46484375","21416.46484375","21416.46484375"
"1680","15889.654296875","15889.654296875","15889.654296875"
"1700","10017.1533203125","10017.1533203125","10017.1533203125"
"1720","18053.791015625","18053.791015625","18053.791015625"
"1740","20744.208984375","20744.208984375","20744.208984375"
"1760","21026.66015625","21026.66015625","21026.66015625"
"1780","8018.11376953125","8018.11376953125","8018.11376953125"
"1800","11974.5810546875","11974.5810546875","11974.5810546875"
"1820","11161.548828125","11161.548828125","11161.548828125"
"1840","7087.01806640625","7087.01806640625","7087.01806640625"
"1860","17234.291015625","17234.291015625","17234.291015625"
"1880","13835.7314453125","13835.7314453125","13835.7314453125"
"1900","7563.6064453125","7563.6064453125","7563.6064453125"
"1920","13530.4755859375","13530.4755859375","13530.4755859375"
"1940","9418.37109375","9418.37109375","9418.37109375"
"1960","10484.2109375","10484.2109375","10484.2109375"
"1980","13581.4345703125","13581.4345703125","13581.4345703125"
"2000","17369.23046875","17369.23046875","17369.23046875"
"2020","15505.4716796875","15505.4716796875","15505.4716796875"
"2040","7869.87646484375","7869.87646484375","7869.87646484375"
"2060","8355.8623046875","8355.8623046875","8355.8623046875"
"2080","6479.291015625","6479.291015625","6479.291015625"
"2100","6746.853515625","6746.853515625","6746.853515625"
"2120","9665.03125","9665.03125","9665.03125"
"2140","6772.4658203125","6772.4658203125","6772.4658203125"
"2160","14343.953125","14343.953125","14343.953125"
"2180","12022.78125","12022.78125","12022.78125"
"2200","11267.6513671875","11267.6513671875","11267.6513671875"
"2220","8788.5458984375","8788.5458984375","8788.5458984375"
"2240","10963.7607421875","10963.7607421875","10963.7607421875"
"2260","18217.740234375","18217.740234375","18217.740234375"
"2280","12466.4462890625","12466.4462890625","12466.4462890625"
"2300","17079.986328125","17079.986328125","17079.986328125"
"2320","17876.208984375","17876.208984375","17876.208984375"
"2340","7599.33935546875","7599.33935546875","7599.33935546875"
"2360","12534.791015625","12534.791015625","12534.791015625"
"2380","8060.6552734375","8060.6552734375","8060.6552734375"
"2400","15891.1171875","15891.1171875","15891.1171875"
"2420","17649.166015625","17649.166015625","17649.166015625"
"2440","18996.7109375","18996.7109375","18996.7109375"
"2460","16727.7734375","16727.7734375","16727.7734375"
"2480","9251.0791015625","9251.0791015625","9251.0791015625"
"2500","17671.978515625","17671.978515625","17671.978515625"
"2520","8544.328125","8544.328125","8544.328125"
"2540","5728.2001953125","5728.2001953125","5728.2001953125"
"2560","13810.4482421875","13810.4482421875","13810.4482421875"
"2580","7411.4736328125","7411.4736328125","7411.4736328125"
"2600","11335.458984375","11335.458984375","11335.458984375"
"2620","13659.330078125","13659.330078125","13659.330078125"
"2640","9375.080078125","9375.080078125","9375.080078125"
"2660","12243.9716796875","12243.9716796875","12243.9716796875"
"2680","11273.6376953125","11273.6376953125","11273.6376953125"
"2700","11531.9638671875","11531.9638671875","11531.9638671875"
"2720","7372.201171875","7372.201171875","7372.201171875"
"2740","7118.36962890625","7118.36962890625","7118.36962890625"
"2760","7372.1640625","7372.1640625","7372.1640625"
"2780","12643.5126953125","12643.5126953125","12643.5126953125"
"2800","11733.8837890625","11733.8837890625","11733.8837890625"
"2820","7716.50146484375","7716.50146484375","7716.50146484375"
"2840","8314.5927734375","8314.5927734375","8314.5927734375"
"2860","10834.626953125","10834.626953125","10834.626953125"
"2880","10633.740234375","10633.740234375","10633.740234375"
"2900","7651.3525390625","7651.3525390625","7651.3525390625"
"2920","20772.154296875","20772.154296875","20772.154296875"
"2940","9679.8984375","9679.8984375","9679.8984375"
"2960","12396.005859375","12396.005859375","12396.005859375"
"2980","9712.1240234375","9712.1240234375","9712.1240234375"
"3000","13064.322265625","13064.322265625","13064.322265625"
"3020","10010.484375","10010.484375","10010.484375"
"3040","11483.4912109375","11483.4912109375","11483.4912109375"
"3060","12082.2197265625","12082.2197265625","12082.2197265625"
"3080","10319.9091796875","10319.9091796875","10319.9091796875"
"3100","11064.23828125","11064.23828125","11064.23828125"
"3120","12732.2333984375","12732.2333984375","12732.2333984375"
"3140","9556.8408203125","9556.8408203125","9556.8408203125"
"3160","10955.9970703125","10955.9970703125","10955.9970703125"
"3180","13956.6201171875","13956.6201171875","13956.6201171875"
"3200","10205.3271484375","10205.3271484375","10205.3271484375"
"3220","11889.5458984375","11889.5458984375","11889.5458984375"
"3240","11277.4716796875","11277.4716796875","11277.4716796875"
"3260","10479.681640625","10479.681640625","10479.681640625"
"3280","8093.97216796875","8093.97216796875","8093.97216796875"
"3300","8438.2568359375","8438.2568359375","8438.2568359375"
"3320","17042.3828125","17042.3828125","17042.3828125"
"3340","13829.66796875","13829.66796875","13829.66796875"
"3360","7313.564453125","7313.564453125","7313.564453125"
"3380","14526.396484375","14526.396484375","14526.396484375"
"3400","8411.2841796875","8411.2841796875","8411.2841796875"
"3420","10147.0302734375","10147.0302734375","10147.0302734375"
"3440","13752.4658203125","13752.4658203125","13752.4658203125"
"3460","7002.9697265625","7002.9697265625","7002.9697265625"
"3480","10239.701171875","10239.701171875","10239.701171875"
"3500","15297.8291015625","15297.8291015625","15297.8291015625"
"3520","10223.16015625","10223.16015625","10223.16015625"
"3540","17593.265625","17593.265625","17593.265625"
"3560","9815.603515625","9815.603515625","9815.603515625"
"3580","10097.2490234375","10097.2490234375","10097.2490234375"
"3600","7944.67919921875","7944.67919921875","7944.67919921875"
"3620","9962.978515625","9962.978515625","9962.978515625"
"3640","10241.4580078125","10241.4580078125","10241.4580078125"
"3660","8857.63671875","8857.63671875","8857.63671875"
"3680","8252.650390625","8252.650390625","8252.650390625"
"3700","7350.59912109375","7350.59912109375","7350.59912109375"
"3720","8356.5771484375","8356.5771484375","8356.5771484375"
"3740","13004.966796875","13004.966796875","13004.966796875"
"3760","9138.759765625","9138.759765625","9138.759765625"
"3780","12204.7666015625","12204.7666015625","12204.7666015625"
"3800","7885.72802734375","7885.72802734375","7885.72802734375"
"3820","8953.2607421875","8953.2607421875","8953.2607421875"
"3840","10510.970703125","10510.970703125","10510.970703125"
"3860","16083.173828125","16083.173828125","16083.173828125"
"3880","10543.234375","10543.234375","10543.234375"
"3900","11473.8955078125","11473.8955078125","11473.8955078125"
"3920","10310.0595703125","10310.0595703125","10310.0595703125"
"3940","9811.0341796875","9811.0341796875","9811.0341796875"
"3960","9968.6708984375","9968.6708984375","9968.6708984375"
"3980","11689.4912109375","11689.4912109375","11689.4912109375"
"4000","11665.5810546875","11665.5810546875","11665.5810546875"
"4020","15738.2861328125","15738.2861328125","15738.2861328125"
"4040","16658.328125","16658.328125","16658.328125"
"4060","8953.8974609375","8953.8974609375","8953.8974609375"
"4080","11360.6328125","11360.6328125","11360.6328125"
"4100","11647.916015625","11647.916015625","11647.916015625"
"4120","8876.814453125","8876.814453125","8876.814453125"
"4140","8503.48828125","8503.48828125","8503.48828125"
"4160","11007.8330078125","11007.8330078125","11007.8330078125"
"4180","7681.548828125","7681.548828125","7681.548828125"
"4200","8177.3408203125","8177.3408203125","8177.3408203125"
"4220","12133.0302734375","12133.0302734375","12133.0302734375"
"4240","13254.6552734375","13254.6552734375","13254.6552734375"
"4260","10208.8388671875","10208.8388671875","10208.8388671875"
"4280","7576.50439453125","7576.50439453125","7576.50439453125"
"4300","7876.90966796875","7876.90966796875","7876.90966796875"
"4320","10819.748046875","10819.748046875","10819.748046875"
"4340","8420.6962890625","8420.6962890625","8420.6962890625"
"4360","9383.3701171875","9383.3701171875","9383.3701171875"
"4380","16242.8837890625","16242.8837890625","16242.8837890625"
"4400","13613.162109375","13613.162109375","13613.162109375"
"4420","8612.1259765625","8612.1259765625","8612.1259765625"
"4440","11946.5712890625","11946.5712890625","11946.5712890625"
"4460","7595.224609375","7595.224609375","7595.224609375"
"4480","8322.0009765625","8322.0009765625","8322.0009765625"
"4500","8847.9091796875","8847.9091796875","8847.9091796875"
"4520","7761.9951171875","7761.9951171875","7761.9951171875"
"4540","6927.1181640625","6927.1181640625","6927.1181640625"
"4560","12403.791015625","12403.791015625","12403.791015625"
"4580","10771.919921875","10771.919921875","10771.919921875"
"4600","8959.1728515625","8959.1728515625","8959.1728515625"
"4620","10263.8115234375","10263.8115234375","10263.8115234375"
"4640","11699.9208984375","11699.9208984375","11699.9208984375"
"4660","10253.4560546875","10253.4560546875","10253.4560546875"
"4680","9737.2451171875","9737.2451171875","9737.2451171875"
"4700","8371.814453125","8371.814453125","8371.814453125"
"4720","9102.0703125","9102.0703125","9102.0703125"
"4740","7549.92724609375","7549.92724609375","7549.92724609375"
"4760","8093.76953125","8093.76953125","8093.76953125"
"4780","12341.4501953125","12341.4501953125","12341.4501953125"
"4800","12290.810546875","12290.810546875","12290.810546875"
"4820","7319.931640625","7319.931640625","7319.931640625"
"4840","10882.4736328125","10882.4736328125","10882.4736328125"
"4860","10090.408203125","10090.408203125","10090.408203125"
"4880","9136.3857421875","9136.3857421875","9136.3857421875"
"4900","8175.49755859375","8175.49755859375","8175.49755859375"
"4920","6861.81591796875","6861.81591796875","6861.81591796875"
"4940","11387.8662109375","11387.8662109375","11387.8662109375"
"4960","8173.0615234375","8173.0615234375","8173.0615234375"
"4980","11690.7646484375","11690.7646484375","11690.7646484375"
"5000","9148.7314453125","9148.7314453125","9148.7314453125"
"5020","9911.099609375","9911.099609375","9911.099609375"
"5040","8831.78125","8831.78125","8831.78125"
"5060","13108.330078125","13108.330078125","13108.330078125"
"5080","13760.041015625","13760.041015625","13760.041015625"
"5100","7604.03515625","7604.03515625","7604.03515625"
"5120","11824.1201171875","11824.1201171875","11824.1201171875"
"5140","8963.630859375","8963.630859375","8963.630859375"
"5160","12041.671875","12041.671875","12041.671875"
"5180","7326.6494140625","7326.6494140625","7326.6494140625"
"5200","16475.40234375","16475.40234375","16475.40234375"
"5220","10089.4833984375","10089.4833984375","10089.4833984375"
"5240","11524.1572265625","11524.1572265625","11524.1572265625"
"5260","9067.169921875","9067.169921875","9067.169921875"
"5280","8693.2294921875","8693.2294921875","8693.2294921875"
"5300","8576.2626953125","8576.2626953125","8576.2626953125"
"5320","7696.72705078125","7696.72705078125","7696.72705078125"
"5340","8731.8681640625","8731.8681640625","8731.8681640625"
"5360","9955.6337890625","9955.6337890625","9955.6337890625"
"5380","17357.912109375","17357.912109375","17357.912109375"
"5400","8713.7587890625","8713.7587890625","8713.7587890625"
"5420","6685.36083984375","6685.36083984375","6685.36083984375"
"5440","13707.6494140625","13707.6494140625","13707.6494140625"
"5460","6602.43701171875","6602.43701171875","6602.43701171875"
"5480","8603.291015625","8603.291015625","8603.291015625"
"5500","9862.9189453125","9862.9189453125","9862.9189453125"
"5520","10783.8583984375","10783.8583984375","10783.8583984375"
"5540","9550.2470703125","9550.2470703125","9550.2470703125"
"5560","7684.8515625","7684.8515625","7684.8515625"
"5580","9766.40234375","9766.40234375","9766.40234375"
"5600","14285.1064453125","14285.1064453125","14285.1064453125"
"5620","8338.623046875","8338.623046875","8338.623046875"
"5640","8394.181640625","8394.181640625","8394.181640625"
"5660","6356.3662109375","6356.3662109375","6356.3662109375"
"5680","6198.4892578125","6198.4892578125","6198.4892578125"
"5700","11858.19140625","11858.19140625","11858.19140625"
"5720","10525.408203125","10525.408203125","10525.408203125"
"5740","8080.13720703125","8080.13720703125","8080.13720703125"
"5760","11858.091796875","11858.091796875","11858.091796875"
"5780","8503.01171875","8503.01171875","8503.01171875"
"5800","7687.67529296875","7687.67529296875","7687.67529296875"
"5820","6772.35986328125","6772.35986328125","6772.35986328125"
"5840","12290.05078125","12290.05078125","12290.05078125"
"5860","9656.5673828125","9656.5673828125","9656.5673828125"
"5880","11387.8115234375","11387.8115234375","11387.8115234375"
"5900","9815.380859375","9815.380859375","9815.380859375"
"5920","7037.20947265625","7037.20947265625","7037.20947265625"
"5940","12411.4091796875","12411.4091796875","12411.4091796875"
"5960","10970.1240234375","10970.1240234375","10970.1240234375"
"5980","12600.861328125","12600.861328125","12600.861328125"
"6000","7909.96533203125","7909.96533203125","7909.96533203125"
"6020","6941.19482421875","6941.19482421875","6941.19482421875"
"6040","12279.2978515625","12279.2978515625","12279.2978515625"
"6060","12588.060546875","12588.060546875","12588.060546875"
"6080","12078.8046875","12078.8046875","12078.8046875"
"6100","10537.1005859375","10537.1005859375","10537.1005859375"
"6120","7104.31201171875","7104.31201171875","7104.31201171875"
"6140","7373.76171875","7373.76171875","7373.76171875"
"6160","8941.150390625","8941.150390625","8941.150390625"
"6180","11591.2646484375","11591.2646484375","11591.2646484375"
"6200","9038.0888671875","9038.0888671875","9038.0888671875"
"6220","7778.001953125","7778.001953125","7778.001953125"
"6240","9089.5830078125","9089.5830078125","9089.5830078125"
"6260","8439.6865234375","8439.6865234375","8439.6865234375"
"6280","14095.220703125","14095.220703125","14095.220703125"
"6300","13591.990234375","13591.990234375","13591.990234375"
"6320","7597.67041015625","7597.67041015625","7597.67041015625"
"6340","12679.5361328125","12679.5361328125","12679.5361328125"
"6360","6782.0888671875","6782.0888671875","6782.0888671875"
"6380","7614.0947265625","7614.0947265625","7614.0947265625"
"6400","10411.95703125","10411.95703125","10411.95703125"
"6420","8308.1533203125","8308.1533203125","8308.1533203125"
"6440","12184.982421875","12184.982421875","12184.982421875"
"6460","7557.28076171875","7557.28076171875","7557.28076171875"
"6480","8713.83984375","8713.83984375","8713.83984375"
"6500","7949.65673828125","7949.65673828125","7949.65673828125"
"6520","13888.7294921875","13888.7294921875","13888.7294921875"
"6540","10857.701171875","10857.701171875","10857.701171875"
"6560","10917.6494140625","10917.6494140625","10917.6494140625"
"6580","9910.8115234375","9910.8115234375","9910.8115234375"
"6600","7810.81884765625","7810.81884765625","7810.81884765625"
"6620","7770.9326171875","7770.9326171875","7770.9326171875"
"6640","9880.1962890625","9880.1962890625","9880.1962890625"
"6660","11455.04296875","11455.04296875","11455.04296875"
"6680","7978.29248046875","7978.29248046875","7978.29248046875"
"6700","10990.2119140625","10990.2119140625","10990.2119140625"
"6720","7307.11865234375","7307.11865234375","7307.11865234375"
"6740","9522.7451171875","9522.7451171875","9522.7451171875"
"6760","7859.3603515625","7859.3603515625","7859.3603515625"
"6780","7709.2255859375","7709.2255859375","7709.2255859375"
"6800","7360.298828125","7360.298828125","7360.298828125"
"6820","6272.10400390625","6272.10400390625","6272.10400390625"
"6840","9372.2685546875","9372.2685546875","9372.2685546875"
"6860","6725.66552734375","6725.66552734375","6725.66552734375"
"6880","9532.470703125","9532.470703125","9532.470703125"
"6900","9419.8671875","9419.8671875","9419.8671875"
"6920","14446.09765625","14446.09765625","14446.09765625"
"6940","8363.216796875","8363.216796875","8363.216796875"
"6960","12269.9453125","12269.9453125","12269.9453125"
"6980","11093.796875","11093.796875","11093.796875"
"7000","12619.5419921875","12619.5419921875","12619.5419921875"
"7020","7772.1806640625","7772.1806640625","7772.1806640625"
"7040","8911.16015625","8911.16015625","8911.16015625"
"7060","11926.75","11926.75","11926.75"
"7080","13671.1064453125","13671.1064453125","13671.1064453125"
"7100","9260.3037109375","9260.3037109375","9260.3037109375"
"7120","12138.830078125","12138.830078125","12138.830078125"
"7140","10875.685546875","10875.685546875","10875.685546875"
"7160","10381.1953125","10381.1953125","10381.1953125"
"7180","12405.5966796875","12405.5966796875","12405.5966796875"
"7200","7386.5029296875","7386.5029296875","7386.5029296875"
"7220","8141.3447265625","8141.3447265625","8141.3447265625"
"7240","10495.5888671875","10495.5888671875","10495.5888671875"
"7260","13479.5927734375","13479.5927734375","13479.5927734375"
"7280","7814.7470703125","7814.7470703125","7814.7470703125"
"7300","6752.1279296875","6752.1279296875","6752.1279296875"
"7320","6085.64453125","6085.64453125","6085.64453125"
"7340","10908.78125","10908.78125","10908.78125"
"7360","9701.0263671875","9701.0263671875","9701.0263671875"
"7380","11256.873046875","11256.873046875","11256.873046875"
"7400","8664.5498046875","8664.5498046875","8664.5498046875"
"7420","12790.216796875","12790.216796875","12790.216796875"
"7440","13485.7080078125","13485.7080078125","13485.7080078125"
"7460","8150.5185546875","8150.5185546875","8150.5185546875"
"7480","9567.0859375","9567.0859375","9567.0859375"
"7500","8502.955078125","8502.955078125","8502.955078125"
"7520","8994.560546875","8994.560546875","8994.560546875"
"7540","8203.705078125","8203.705078125","8203.705078125"
"7560","11186.62890625","11186.62890625","11186.62890625"
"7580","7579.02001953125","7579.02001953125","7579.02001953125"
"7600","6223.0576171875","6223.0576171875","6223.0576171875"
"7620","12892.8642578125","12892.8642578125","12892.8642578125"
"7640","7218.25341796875","7218.25341796875","7218.25341796875"
"7660","7977.83984375","7977.83984375","7977.83984375"
"7680","14181.369140625","14181.369140625","14181.369140625"
"7700","7753.2763671875","7753.2763671875","7753.2763671875"
"7720","7685.87451171875","7685.87451171875","7685.87451171875"
"7740","11104.3671875","11104.3671875","11104.3671875"
"7760","9569.7578125","9569.7578125","9569.7578125"
"7780","9218.7197265625","9218.7197265625","9218.7197265625"
"7800","8190.33251953125","8190.33251953125","8190.33251953125"
"7820","10459.169921875","10459.169921875","10459.169921875"
"7840","6487.4833984375","6487.4833984375","6487.4833984375"
"7860","11807.9169921875","11807.9169921875","11807.9169921875"
"7880","12188.69921875","12188.69921875","12188.69921875"
"7900","6347.314453125","6347.314453125","6347.314453125"
"7920","8979.12109375","8979.12109375","8979.12109375"
"7940","9240.91015625","9240.91015625","9240.91015625"
"7960","6723.81201171875","6723.81201171875","6723.81201171875"
"7980","9092.0634765625","9092.0634765625","9092.0634765625"
"8000","11868.73828125","11868.73828125","11868.73828125"
"8020","9053.861328125","9053.861328125","9053.861328125"
"8040","7636.90771484375","7636.90771484375","7636.90771484375"
"8060","11363.58984375","11363.58984375","11363.58984375"
"8080","12027.3017578125","12027.3017578125","12027.3017578125"
"8100","7512.2431640625","7512.2431640625","7512.2431640625"
"8120","6394.33056640625","6394.33056640625","6394.33056640625"
"8140","8821.3271484375","8821.3271484375","8821.3271484375"
"8160","9822.8876953125","9822.8876953125","9822.8876953125"
"8180","13698.32421875","13698.32421875","13698.32421875"
"8200","16894.73046875","16894.73046875","16894.73046875"
"8220","11767.044921875","11767.044921875","11767.044921875"
"8240","9105.693359375","9105.693359375","9105.693359375"
"8260","9015.8310546875","9015.8310546875","9015.8310546875"
"8280","12750.1650390625","12750.1650390625","12750.1650390625"
"8300","7314.67822265625","7314.67822265625","7314.67822265625"
"8320","9757.3525390625","9757.3525390625","9757.3525390625"
"8340","10854.1220703125","10854.1220703125","10854.1220703125"
"8360","7275.59765625","7275.59765625","7275.59765625"
"8380","10521.0986328125","10521.0986328125","10521.0986328125"
"8400","9932.609375","9932.609375","9932.609375"
"8420","9901.99609375","9901.99609375","9901.99609375"
"8440","8732.3076171875","8732.3076171875","8732.3076171875"
"8460","12155.0068359375","12155.0068359375","12155.0068359375"
"8480","8151.27734375","8151.27734375","8151.27734375"
"8500","10709.326171875","10709.326171875","10709.326171875"
"8520","9933.5400390625","9933.5400390625","9933.5400390625"
"8540","7915.3603515625","7915.3603515625","7915.3603515625"
"8560","6780.0810546875","6780.0810546875","6780.0810546875"
"8580","8343.5537109375","8343.5537109375","8343.5537109375"
"8600","11246.8740234375","11246.8740234375","11246.8740234375"
"8620","8835.36328125","8835.36328125","8835.36328125"
"8640","9884.1630859375","9884.1630859375","9884.1630859375"
"8660","9837.1923828125","9837.1923828125","9837.1923828125"
"8680","9629.0517578125","9629.0517578125","9629.0517578125"
"8700","11791.4169921875","11791.4169921875","11791.4169921875"
"8720","8259.08203125","8259.08203125","8259.08203125"
"8740","13822.0302734375","13822.0302734375","13822.0302734375"
"8760","7323.52197265625","7323.52197265625","7323.52197265625"
"8780","11814.9462890625","11814.9462890625","11814.9462890625"
"8800","7705.1171875","7705.1171875","7705.1171875"
"8820","9792.0888671875","9792.0888671875","9792.0888671875"
"8840","7552.93994140625","7552.93994140625","7552.93994140625"
"8860","8219.0498046875","8219.0498046875","8219.0498046875"
"8880","7535.861328125","7535.861328125","7535.861328125"
"8900","8443.626953125","8443.626953125","8443.626953125"
"8920","8575.701171875","8575.701171875","8575.701171875"
"8940","8496.51953125","8496.51953125","8496.51953125"
"8960","7177.0390625","7177.0390625","7177.0390625"
"8980","10029.556640625","10029.556640625","10029.556640625"
"9000","11351.318359375","11351.318359375","11351.318359375"
"9020","7279.05322265625","7279.05322265625","7279.05322265625"
"9040","10817.0986328125","10817.0986328125","10817.0986328125"
"9060","7600.72314453125","7600.72314453125","7600.72314453125"
"9080","6486.48388671875","6486.48388671875","6486.48388671875"
"9100","8137.23583984375","8137.23583984375","8137.23583984375"
"9120","13312.611328125","13312.611328125","13312.611328125"
"9140","7400.25830078125","7400.25830078125","7400.25830078125"
"9160","6627.1572265625","6627.1572265625","6627.1572265625"
"9180","7999.29052734375","7999.29052734375","7999.29052734375"
"9200","8841.9130859375","8841.9130859375","8841.9130859375"
"9220","14980.9091796875","14980.9091796875","14980.9091796875"
"9240","9733.5234375","9733.5234375","9733.5234375"
"9260","11599.5615234375","11599.5615234375","11599.5615234375"
"9280","7793.36376953125","7793.36376953125","7793.36376953125"
"9300","7226.44189453125","7226.44189453125","7226.44189453125"
"9320","11309.18359375","11309.18359375","11309.18359375"
"9340","11394.5029296875","11394.5029296875","11394.5029296875"
"9360","14053.0107421875","14053.0107421875","14053.0107421875"
"9380","12725.240234375","12725.240234375","12725.240234375"
"9400","9412.5830078125","9412.5830078125","9412.5830078125"
"9420","9379.7744140625","9379.7744140625","9379.7744140625"
"9440","11199.7451171875","11199.7451171875","11199.7451171875"
"9460","9067.990234375","9067.990234375","9067.990234375"
"9480","10662.205078125","10662.205078125","10662.205078125"
"9500","9703.916015625","9703.916015625","9703.916015625"
"9520","11743.6005859375","11743.6005859375","11743.6005859375"
"9540","8305.8759765625","8305.8759765625","8305.8759765625"
"9560","9501.4736328125","9501.4736328125","9501.4736328125"
"9580","9396.36328125","9396.36328125","9396.36328125"
"9600","11853.5458984375","11853.5458984375","11853.5458984375"
"9620","14138.732421875","14138.732421875","14138.732421875"
"9640","6543.98876953125","6543.98876953125","6543.98876953125"
"9660","10005.6220703125","10005.6220703125","10005.6220703125"
"9680","8134.9970703125","8134.9970703125","8134.9970703125"
"9700","10676.6474609375","10676.6474609375","10676.6474609375"
"9720","10021.220703125","10021.220703125","10021.220703125"
"9740","8201.939453125","8201.939453125","8201.939453125"
"9760","8229.02734375","8229.02734375","8229.02734375"
"9780","9340.5107421875","9340.5107421875","9340.5107421875"
"9800","7479.119140625","7479.119140625","7479.119140625"
"9820","12432.7568359375","12432.7568359375","12432.7568359375"
"9840","11147.6708984375","11147.6708984375","11147.6708984375"
"9860","9765.9130859375","9765.9130859375","9765.9130859375"
"9880","8618.4052734375","8618.4052734375","8618.4052734375"
"9900","8125.23388671875","8125.23388671875","8125.23388671875"
"9920","10002.728515625","10002.728515625","10002.728515625"
"9940","12442.31640625","12442.31640625","12442.31640625"
"9960","8821.8740234375","8821.8740234375","8821.8740234375"
"9980","6547.4140625","6547.4140625","6547.4140625"
