"Step","zerobase_numdata5lag2noise1.0lo128hi128sz00001max50000_0706_120929 - loss","zerobase_numdata5lag2noise1.0lo128hi128sz00001max50000_0706_120929 - loss__MIN","zerobase_numdata5lag2noise1.0lo128hi128sz00001max50000_0706_120929 - loss__MAX"
"20","14458.0595703125","14458.0595703125","14458.0595703125"
"40","11030.7763671875","11030.7763671875","11030.7763671875"
"60","10189.544921875","10189.544921875","10189.544921875"
"80","7609.68359375","7609.68359375","7609.68359375"
"100","7992.16845703125","7992.16845703125","7992.16845703125"
"120","6534.5390625","6534.5390625","6534.5390625"
"140","6772.8935546875","6772.8935546875","6772.8935546875"
"160","6522.408203125","6522.408203125","6522.408203125"
"180","6751.84423828125","6751.84423828125","6751.84423828125"
"200","5757.81005859375","5757.81005859375","5757.81005859375"
"220","6086.7880859375","6086.7880859375","6086.7880859375"
"240","4779.2529296875","4779.2529296875","4779.2529296875"
"260","5296.83984375","5296.83984375","5296.83984375"
"280","4730.6962890625","4730.6962890625","4730.6962890625"
"300","4964.85498046875","4964.85498046875","4964.85498046875"
"320","5490.955078125","5490.955078125","5490.955078125"
"340","4854.7119140625","4854.7119140625","4854.7119140625"
"360","4237.2744140625","4237.2744140625","4237.2744140625"
"380","5115.66943359375","5115.66943359375","5115.66943359375"
"400","4724.4111328125","4724.4111328125","4724.4111328125"
"420","4584.53125","4584.53125","4584.53125"
"440","4659.3388671875","4659.3388671875","4659.3388671875"
"460","4762.71240234375","4762.71240234375","4762.71240234375"
"480","4706.08251953125","4706.08251953125","4706.08251953125"
"500","4518.68359375","4518.68359375","4518.68359375"
"520","3884.825927734375","3884.825927734375","3884.825927734375"
"540","3804.517822265625","3804.517822265625","3804.517822265625"
"560","4381.13818359375","4381.13818359375","4381.13818359375"
"580","4766.4619140625","4766.4619140625","4766.4619140625"
"600","4273.7685546875","4273.7685546875","4273.7685546875"
"620","3806.380615234375","3806.380615234375","3806.380615234375"
"640","3945.415283203125","3945.415283203125","3945.415283203125"
"660","3843.17919921875","3843.17919921875","3843.17919921875"
"680","4041.40869140625","4041.40869140625","4041.40869140625"
"700","3790.255859375","3790.255859375","3790.255859375"
"720","3927.39794921875","3927.39794921875","3927.39794921875"
"740","4032.418701171875","4032.418701171875","4032.418701171875"
"760","4136.54345703125","4136.54345703125","4136.54345703125"
"780","3605.6455078125","3605.6455078125","3605.6455078125"
"800","4095.226806640625","4095.226806640625","4095.226806640625"
"820","4136.04248046875","4136.04248046875","4136.04248046875"
"840","4141.23828125","4141.23828125","4141.23828125"
"860","3629.48388671875","3629.48388671875","3629.48388671875"
"880","3417.5244140625","3417.5244140625","3417.5244140625"
"900","3548.83642578125","3548.83642578125","3548.83642578125"
"920","3618.178466796875","3618.178466796875","3618.178466796875"
"940","3380.469970703125","3380.469970703125","3380.469970703125"
"960","3611.037841796875","3611.037841796875","3611.037841796875"
"980","3507.1767578125","3507.1767578125","3507.1767578125"
"1000","3043.967529296875","3043.967529296875","3043.967529296875"
"1020","3207.6650390625","3207.6650390625","3207.6650390625"
"1040","3562.08544921875","3562.08544921875","3562.08544921875"
"1060","3079.92919921875","3079.92919921875","3079.92919921875"
"1080","3743.6669921875","3743.6669921875","3743.6669921875"
"1100","3238.682373046875","3238.682373046875","3238.682373046875"
"1120","3155.90283203125","3155.90283203125","3155.90283203125"
"1140","3452.454833984375","3452.454833984375","3452.454833984375"
"1160","3300.85986328125","3300.85986328125","3300.85986328125"
"1180","3348.48681640625","3348.48681640625","3348.48681640625"
"1200","3050.794921875","3050.794921875","3050.794921875"
"1220","3503.19921875","3503.19921875","3503.19921875"
"1240","3610.523681640625","3610.523681640625","3610.523681640625"
"1260","2976.351806640625","2976.351806640625","2976.351806640625"
"1280","3203.60546875","3203.60546875","3203.60546875"
"1300","3566.934326171875","3566.934326171875","3566.934326171875"
"1320","3293.14794921875","3293.14794921875","3293.14794921875"
"1340","3171.135009765625","3171.135009765625","3171.135009765625"
