"Step","zerobasebeta3t2_numdata5lag2noise1.0lo128hi128sz00001max50000_0707_172415 - loss","zerobasebeta3t2_numdata5lag2noise1.0lo128hi128sz00001max50000_0707_172415 - loss__MIN","zerobasebeta3t2_numdata5lag2noise1.0lo128hi128sz00001max50000_0707_172415 - loss__MAX"
"20","13277.3173828125","13277.3173828125","13277.3173828125"
"40","10957.2822265625","10957.2822265625","10957.2822265625"
"60","10441.5869140625","10441.5869140625","10441.5869140625"
"80","8095.12744140625","8095.12744140625","8095.12744140625"
"100","7866.0927734375","7866.0927734375","7866.0927734375"
"120","6679.216796875","6679.216796875","6679.216796875"
"140","6988.4775390625","6988.4775390625","6988.4775390625"
"160","6660.6875","6660.6875","6660.6875"
"180","6987.541015625","6987.541015625","6987.541015625"
"200","5999.5498046875","5999.5498046875","5999.5498046875"
"220","6381.09619140625","6381.09619140625","6381.09619140625"
"240","5211.3798828125","5211.3798828125","5211.3798828125"
"260","5563.55859375","5563.55859375","5563.55859375"
"280","5362.4619140625","5362.4619140625","5362.4619140625"
"300","5319.69287109375","5319.69287109375","5319.69287109375"
"320","5658.23291015625","5658.23291015625","5658.23291015625"
"340","5158.06591796875","5158.06591796875","5158.06591796875"
"360","4675.43798828125","4675.43798828125","4675.43798828125"
"380","5372.7822265625","5372.7822265625","5372.7822265625"
"400","4995.09912109375","4995.09912109375","4995.09912109375"
"420","4913.150390625","4913.150390625","4913.150390625"
"440","4779.75","4779.75","4779.75"
"460","4874.28955078125","4874.28955078125","4874.28955078125"
"480","4954.55224609375","4954.55224609375","4954.55224609375"
"500","4709.99560546875","4709.99560546875","4709.99560546875"
"520","4182.666015625","4182.666015625","4182.666015625"
"540","4082.654296875","4082.654296875","4082.654296875"
"560","4560.76123046875","4560.76123046875","4560.76123046875"
"580","4976.00341796875","4976.00341796875","4976.00341796875"
"600","4512.29541015625","4512.29541015625","4512.29541015625"
"620","4065.733642578125","4065.733642578125","4065.733642578125"
"640","4227.23193359375","4227.23193359375","4227.23193359375"
"660","3992.9970703125","3992.9970703125","3992.9970703125"
"680","4309.1435546875","4309.1435546875","4309.1435546875"
"700","4003.556884765625","4003.556884765625","4003.556884765625"
"720","4089.103759765625","4089.103759765625","4089.103759765625"
"740","4282.61181640625","4282.61181640625","4282.61181640625"
"760","4305.53466796875","4305.53466796875","4305.53466796875"
"780","3945.5205078125","3945.5205078125","3945.5205078125"
"800","4298.92431640625","4298.92431640625","4298.92431640625"
"820","4183.3466796875","4183.3466796875","4183.3466796875"
"840","4248.87646484375","4248.87646484375","4248.87646484375"
"860","3843.32373046875","3843.32373046875","3843.32373046875"
"880","3628.735595703125","3628.735595703125","3628.735595703125"
"900","3780.60302734375","3780.60302734375","3780.60302734375"
"920","3868.118408203125","3868.118408203125","3868.118408203125"
"940","3597.12548828125","3597.12548828125","3597.12548828125"
"960","3867.984375","3867.984375","3867.984375"
"980","3732.0830078125","3732.0830078125","3732.0830078125"
"1000","3376.25927734375","3376.25927734375","3376.25927734375"
"1020","3419.339599609375","3419.339599609375","3419.339599609375"
"1040","3718.847412109375","3718.847412109375","3718.847412109375"
"1060","3341.10546875","3341.10546875","3341.10546875"
"1080","3839.903076171875","3839.903076171875","3839.903076171875"
"1100","3392.03271484375","3392.03271484375","3392.03271484375"
"1120","3500.231689453125","3500.231689453125","3500.231689453125"
"1140","3667.470947265625","3667.470947265625","3667.470947265625"
"1160","3531.780517578125","3531.780517578125","3531.780517578125"
"1180","3470.9755859375","3470.9755859375","3470.9755859375"
"1200","3390.62060546875","3390.62060546875","3390.62060546875"
"1220","3697.866455078125","3697.866455078125","3697.866455078125"
"1240","3834.02294921875","3834.02294921875","3834.02294921875"
"1260","3233.114013671875","3233.114013671875","3233.114013671875"
"1280","3439.887939453125","3439.887939453125","3439.887939453125"
"1300","3737.267333984375","3737.267333984375","3737.267333984375"
"1320","3412.6962890625","3412.6962890625","3412.6962890625"
"1340","3393.19189453125","3393.19189453125","3393.19189453125"
"1360","3263.25048828125","3263.25048828125","3263.25048828125"
"1380","3394.806884765625","3394.806884765625","3394.806884765625"
"1400","3756.27001953125","3756.27001953125","3756.27001953125"
"1420","3574.22900390625","3574.22900390625","3574.22900390625"
"1440","3475.91748046875","3475.91748046875","3475.91748046875"
"1460","3121.37548828125","3121.37548828125","3121.37548828125"
"1480","3336.427978515625","3336.427978515625","3336.427978515625"
"1500","3196.626708984375","3196.626708984375","3196.626708984375"
"1520","3201.659423828125","3201.659423828125","3201.659423828125"
"1540","3281.651123046875","3281.651123046875","3281.651123046875"
"1560","3151.07470703125","3151.07470703125","3151.07470703125"
"1580","3616.606201171875","3616.606201171875","3616.606201171875"
"1600","3560.881103515625","3560.881103515625","3560.881103515625"
"1620","3330.080810546875","3330.080810546875","3330.080810546875"
"1640","3017.722412109375","3017.722412109375","3017.722412109375"
"1660","3009.606689453125","3009.606689453125","3009.606689453125"
"1680","3036.044921875","3036.044921875","3036.044921875"
"1700","3004.25927734375","3004.25927734375","3004.25927734375"
"1720","3187.226806640625","3187.226806640625","3187.226806640625"
"1740","3007.056884765625","3007.056884765625","3007.056884765625"
"1760","3310.155517578125","3310.155517578125","3310.155517578125"
"1780","2737.339111328125","2737.339111328125","2737.339111328125"
"1800","3387.15771484375","3387.15771484375","3387.15771484375"
"1820","3210.74560546875","3210.74560546875","3210.74560546875"
"1840","3120.86669921875","3120.86669921875","3120.86669921875"
"1860","2970.526611328125","2970.526611328125","2970.526611328125"
"1880","2952.865234375","2952.865234375","2952.865234375"
"1900","3363.8173828125","3363.8173828125","3363.8173828125"
"1920","3215.639892578125","3215.639892578125","3215.639892578125"
"1940","2675.288330078125","2675.288330078125","2675.288330078125"
"1960","2956.223388671875","2956.223388671875","2956.223388671875"
"1980","2990.68115234375","2990.68115234375","2990.68115234375"
"2000","3239.235595703125","3239.235595703125","3239.235595703125"
"2020","3117.919921875","3117.919921875","3117.919921875"
"2040","3003.1298828125","3003.1298828125","3003.1298828125"
"2060","2884.030029296875","2884.030029296875","2884.030029296875"
"2080","3006.75732421875","3006.75732421875","3006.75732421875"
"2100","3300.095947265625","3300.095947265625","3300.095947265625"
"2120","2928.864990234375","2928.864990234375","2928.864990234375"
"2140","3065.548095703125","3065.548095703125","3065.548095703125"
"2160","2960.021728515625","2960.021728515625","2960.021728515625"
"2180","2689.6298828125","2689.6298828125","2689.6298828125"
"2200","3034.67333984375","3034.67333984375","3034.67333984375"
