"Step","zerobasebeta2t2_numdata5lag2noise1.0lo128hi128sz00001max50000_0707_172415 - Gradnorm","zerobasebeta2t2_numdata5lag2noise1.0lo128hi128sz00001max50000_0707_172415 - Gradnorm__MIN","zerobasebeta2t2_numdata5lag2noise1.0lo128hi128sz00001max50000_0707_172415 - Gradnorm__MAX"
"0","100000.0078125","100000.0078125","100000.0078125"
"20","16657.4140625","16657.4140625","16657.4140625"
"40","16275.4931640625","16275.4931640625","16275.4931640625"
"60","11733.814453125","11733.814453125","11733.814453125"
"80","18483.060546875","18483.060546875","18483.060546875"
"100","13036.896484375","13036.896484375","13036.896484375"
"120","35764.15234375","35764.15234375","35764.15234375"
"140","18869.57421875","18869.57421875","18869.57421875"
"160","26978.85546875","26978.85546875","26978.85546875"
"180","28180.228515625","28180.228515625","28180.228515625"
"200","9055.9345703125","9055.9345703125","9055.9345703125"
"220","13115.439453125","13115.439453125","13115.439453125"
"240","14259.0791015625","14259.0791015625","14259.0791015625"
"260","24971.021484375","24971.021484375","24971.021484375"
"280","10794.9658203125","10794.9658203125","10794.9658203125"
"300","15762.419921875","15762.419921875","15762.419921875"
"320","11707.6357421875","11707.6357421875","11707.6357421875"
"340","23359.791015625","23359.791015625","23359.791015625"
"360","18275.140625","18275.140625","18275.140625"
"380","11303.505859375","11303.505859375","11303.505859375"
"400","10619.2275390625","10619.2275390625","10619.2275390625"
"420","18416.826171875","18416.826171875","18416.826171875"
"440","16220.5634765625","16220.5634765625","16220.5634765625"
"460","23533.013671875","23533.013671875","23533.013671875"
"480","13479.7060546875","13479.7060546875","13479.7060546875"
"500","14267.068359375","14267.068359375","14267.068359375"
"520","9194.11328125","9194.11328125","9194.11328125"
"540","17802.990234375","17802.990234375","17802.990234375"
"560","23886.419921875","23886.419921875","23886.419921875"
"580","23071.619140625","23071.619140625","23071.619140625"
"600","23346.384765625","23346.384765625","23346.384765625"
"620","11423.4765625","11423.4765625","11423.4765625"
"640","15275.6396484375","15275.6396484375","15275.6396484375"
"660","12977.888671875","12977.888671875","12977.888671875"
"680","21724.35546875","21724.35546875","21724.35546875"
"700","17023.84765625","17023.84765625","17023.84765625"
"720","31256.783203125","31256.783203125","31256.783203125"
"740","14563.0048828125","14563.0048828125","14563.0048828125"
"760","25643.666015625","25643.666015625","25643.666015625"
"780","18504.876953125","18504.876953125","18504.876953125"
"800","11199.79296875","11199.79296875","11199.79296875"
"820","9943.2236328125","9943.2236328125","9943.2236328125"
"840","22425.443359375","22425.443359375","22425.443359375"
"860","11422.5634765625","11422.5634765625","11422.5634765625"
"880","10437.4658203125","10437.4658203125","10437.4658203125"
"900","14120.2060546875","14120.2060546875","14120.2060546875"
"920","17085.109375","17085.109375","17085.109375"
"940","23249.251953125","23249.251953125","23249.251953125"
"960","13077.7373046875","13077.7373046875","13077.7373046875"
"980","8051.1328125","8051.1328125","8051.1328125"
"1000","20783.693359375","20783.693359375","20783.693359375"
"1020","8873.7099609375","8873.7099609375","8873.7099609375"
"1040","11522.59375","11522.59375","11522.59375"
"1060","10258.677734375","10258.677734375","10258.677734375"
"1080","10971.0458984375","10971.0458984375","10971.0458984375"
"1100","11107.3232421875","11107.3232421875","11107.3232421875"
"1120","9233.8642578125","9233.8642578125","9233.8642578125"
"1140","7392.4755859375","7392.4755859375","7392.4755859375"
"1160","14083.9775390625","14083.9775390625","14083.9775390625"
"1180","10187.453125","10187.453125","10187.453125"
"1200","23019.330078125","23019.330078125","23019.330078125"
"1220","10009.58203125","10009.58203125","10009.58203125"
"1240","7275.4814453125","7275.4814453125","7275.4814453125"
"1260","28499.43359375","28499.43359375","28499.43359375"
"1280","24940.7421875","24940.7421875","24940.7421875"
"1300","15398.9501953125","15398.9501953125","15398.9501953125"
"1320","13140.3486328125","13140.3486328125","13140.3486328125"
"1340","18688.2421875","18688.2421875","18688.2421875"
"1360","18621.421875","18621.421875","18621.421875"
