# Gaussian smoothness sweep (128x128, s1=3, 3 seeds, 2000 samples)
# columns: s0, steps, high_mean, high_std, mid_mean, mid_std, wall(s)
0	5	1.509382e+04	3.982578e+00	1.938103e+02	1.209958e-01	0.0815
0	10	1.506783e+04	3.981830e+00	8.537105e+01	3.896193e-02	0.1719
0	20	1.505549e+04	3.981677e+00	5.176098e+01	3.946552e-02	0.3563
0	40	1.504838e+04	3.978489e+00	4.014176e+01	4.068899e-02	0.7258
0	80	1.504458e+04	3.977704e+00	3.568511e+01	4.042339e-02	1.4694
1	5	2.289642e+02	1.197602e-01	7.495165e+01	6.996910e-02	0.0719
1	10	7.166709e+01	3.574473e-02	1.945500e+01	1.855845e-02	0.1711
1	20	2.668090e+01	1.235312e-02	5.095043e+00	5.173584e-03	0.3556
1	40	1.263449e+01	5.380631e-03	1.322548e+00	2.128864e-03	0.7262
1	80	7.778650e+00	3.126135e-03	3.395045e-01	1.492065e-03	1.4650
2	5	1.867253e+00	1.146802e-03	8.232698e-02	8.247007e-04	0.0786
2	10	2.647422e-01	3.479492e-04	4.365514e-02	4.590831e-04	0.1703
2	20	3.381706e-02	5.024194e-04	6.590763e-03	3.212654e-04	0.3575
2	40	1.178117e-02	2.165607e-04	3.875451e-03	4.228145e-05	0.7289
2	80	2.543372e-03	2.997837e-04	3.876035e-03	9.684192e-05	1.4471
3	5	2.258571e-03	1.480292e-04	3.861914e-03	3.529120e-05	0.0779
3	10	2.262356e-03	1.492751e-04	3.864284e-03	4.046332e-05	0.1716
3	20	2.262518e-03	1.494281e-04	3.864367e-03	4.064509e-05	0.3574
3	40	2.262630e-03	1.492527e-04	3.864363e-03	4.064181e-05	0.7139
3	80	2.262520e-03	1.492205e-04	3.864377e-03	4.065936e-05	1.4660
